"Maximum Capacity","Suburb","Postcode","Latitude","Longitude","Region","Gaming"
"Unspecified","CLAYTON","3168","-37.92348184","145.11977490","Metro East","Not allowed"
"Between 20 and 49","CLAYTON","3168","-37.91693846","145.14865890","Metro East","Not allowed"
"Between 100 and 199","CLAYTON","3168","-37.91693846","145.14865890","Metro East","Not allowed"
"Between 100 and 199","FRANKSTON","3199","-38.14602495","145.13985080","Metro South","Not allowed"
"Between 50 and 99","BERWICK","3806","-38.03095400","145.34648400","Metro South","Not allowed"
"Between 50 and 99","FRANKSTON","3199","-38.14055700","145.12302900","Metro South","Not allowed"
"Between 200 and 499","CLAYTON","3168","-37.91400060","145.13486690","Metro East","Not allowed"
"Between 100 and 199","CLAYTON","3168","-37.91027700","145.14235800","Metro East","Not allowed"
"Between 50 and 99","CLAYTON","3168","-37.92696400","145.11962100","Metro East","Not allowed"
"Between 50 and 99","FRANKSTON","3199","-38.14324780","145.12389540","Metro South","Not allowed"
"Between 50 and 99","CAULFIELD","3162","-37.88654100","145.02043900","Metro South","Not allowed"
"Between 20 and 49","FRANKSTON","3199","-38.16666700","145.10852300","Metro South","Not allowed"
"Between 20 and 49","CLAYTON","3168","-37.92304800","145.11991400","Metro East","Not allowed"
"Between 20 and 49","FRANKSTON","3199","-38.14492800","145.12063200","Metro South","Not allowed"
"Between 200 and 499","PARKVILLE","3052","-37.79827067","144.95855131","Metro North","Not allowed"
"Unspecified","PARKVILLE","3052","-37.79525733","144.96462360","Metro North","Not allowed"
"Between 50 and 99","BERWICK","3806","-38.03152685","145.34553750","Metro South","Not allowed"
"Between 100 and 199","CLAYTON","3168","-37.91515521","145.13390080","Metro East","Not allowed"
"Between 50 and 99","BERWICK","3806","-38.01491621","145.32340360","Metro South","Not allowed"
"Between 200 and 499","PARKVILLE","3052","-37.79312693","144.96348530","Metro North","Not allowed"
"Between 100 and 199","FRANKSTON","3199","-38.14236700","145.12169100","Metro South","Not allowed"
"Between 20 and 49","BERWICK","3806","-38.03054819","145.34671030","Metro South","Not allowed"
"Unspecified","PARKVILLE","3010","-37.79689848","144.96083760","Metro North","Not allowed"
"Between 50 and 99","FRANKSTON","3199","-38.14847232","145.16602920","Metro South","Not allowed"
"More than 499","PARKVILLE","3052","-37.79296330","144.96132080","Metro North","Not allowed"
"Between 50 and 99","CLAYTON","3168","-37.92779477","145.11943130","Metro East","Not allowed"
"Between 20 and 49","FRANKSTON","3199","-38.14384199","145.12043610","Metro South","Not allowed"
"Between 50 and 99","CLAYTON","3168","-37.92137878","145.13736850","Metro East","Not allowed"
"Between 50 and 99","CAULFIELD","3162","-37.88635353","145.02188370","Metro South","Not allowed"
"Between 100 and 199","CLAYTON","3181","-37.91524603","145.13464385","Metro East","Not allowed"
"Between 20 and 49","CLAYTON","3168","-37.92530767","145.11988240","Metro East","Not allowed"
"Unspecified","BERWICK","3806","-38.06147083","145.33925250","Metro South","Not allowed"
"More than 499","CLAYTON","3168","-37.91107385","145.13550750","Metro East","Not allowed"
"Between 20 and 49","CAULFIELD","3162","-37.89397595","145.02094230","Metro South","Not allowed"
"Between 100 and 199","FRANKSTON","3199","-38.14069662","145.12177710","Metro South","Not allowed"
"Between 20 and 49","BERWICK","3806","-38.03086485","145.34624470","Metro South","Not allowed"
"Between 20 and 49","CLAYTON","3168","-37.92747036","145.11949910","Metro East","Not allowed"
"Between 50 and 99","FRANKSTON","3199","-38.14417993","145.12476000","Metro South","Not allowed"
"Between 20 and 49","CLAYTON","3168","-37.92565895","145.11997390","Metro East","Not allowed"
"Between 200 and 499","PARKVILLE","3052","-37.79469572","144.94938220","Metro North","Not allowed"
"Between 50 and 99","CLAYTON","3168","-37.92768705","145.11903310","Metro East","Not allowed"
"Between 100 and 199","CLAYTON","3168","-37.92739829","145.11948760","Metro East","Not allowed"
"Between 50 and 99","FRANKSTON","3199","-38.14233932","145.12170437","Metro South","Not allowed"
"Between 50 and 99","CLAYTON","3168","-37.92428000","145.12086100","Metro East","Not allowed"
"Between 50 and 99","BERWICK","3806","-38.06041891","145.33946118","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92518400","145.11991700","Metro East","Not allowed"
"Between 50 and 99","FRANKSTON","3199","-38.16378100","145.13713200","Metro South","Not allowed"
"Between 100 and 199","FRANKSTON","3199","-38.14284049","145.12018696","Metro South","Not allowed"
"Between 20 and 49","FRANKSTON","3199","-38.14438600","145.12452600","Metro South","Not allowed"
"Between 50 and 99","CLAYTON","3168","-37.92644167","145.11917234","Metro East","Not allowed"
"Unspecified","CLAYTON","3168","-37.92649800","145.11914200","Metro East","Not allowed"
"Between 200 and 499","FRANKSTON","3199","-38.14520048","145.12245160","Metro South","Not allowed"
"Between 20 and 49","CLAYTON","3168","-37.92707100","145.11959600","Metro East","Not allowed"
"Between 200 and 499","CLAYTON","3800","-37.91524603","145.13464385","Metro East","Not allowed"
"Between 50 and 99","BERWICK","3806","-38.03152300","145.34459300","Metro South","Not allowed"
"Between 20 and 49","CLAYTON","3168","-37.92681100","145.11964800","Metro East","Not allowed"
"Between 50 and 99","BERWICK","3806","-38.03030045","145.34581238","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14317067","145.11998451","Metro South","Not allowed"
"Between 50 and 99","CLAYTON","3168","-37.92640700","145.11973800","Metro East","Not allowed"
"Between 200 and 499","FRANKSTON","3199","-38.14359400","145.12267400","Metro South","Not allowed"
"Between 20 and 49","BERWICK","3806","-38.03132905","145.34402488","Metro South","Not allowed"
"Between 100 and 199","BERWICK","3806","-38.06041891","145.33946118","Metro South","Not allowed"
"Between 100 and 199","FRANKSTON","3199","-38.14383285","145.12324313","Metro South","Not allowed"
"Between 20 and 49","BERWICK","3806","-38.03150498","145.34526451","Metro South","Not allowed"
"Between 200 and 499","BERWICK","3806","-38.03111600","145.34775700","Metro South","Not allowed"
"Between 100 and 199","FRANKSTON","3199","-38.15118565","145.16539294","Metro South","Not allowed"
"Between 100 and 199","CLAYTON","3168","-37.92125142","145.13738561","Metro East","Not allowed"
"Between 50 and 99","FRANKSTON","3199","-38.13554300","145.12381700","Metro South","Not allowed"
"Between 100 and 199","CLAYTON","3800","-37.91515521","145.13390076","Metro East","Not allowed"
"Between 20 and 49","FRANKSTON","3199","-38.14479200","145.13869900","Metro South","Not allowed"
"Between 50 and 99","CLAYTON","3168","-37.92686500","145.11963500","Metro East","Not allowed"
"Between 200 and 499","CAULFIELD","3145","-37.87648733","145.04542510","Metro South","Not allowed"
"Between 20 and 49","BERWICK","3806","-38.03201800","145.34592500","Metro South","Not allowed"
"Between 50 and 99","CLAYTON","3168","-37.92712500","145.11958300","Metro East","Not allowed"
"Between 100 and 199","BERWICK","3806","-38.03027500","145.34564500","Metro South","Not allowed"
"Between 5 and 19","BERWICK","3806","-38.01491622","145.32340363","Metro South","Not allowed"
"Between 50 and 99","FRANKSTON","3199","-38.14438700","145.13820700","Metro South","Not allowed"
"Between 50 and 99","BERWICK","3806","-38.05744570","145.33844336","Metro South","Not allowed"
"Between 200 and 499","BERWICK","3806","-38.05744570","145.33844336","Metro South","Not allowed"
"Between 50 and 99","CLAYTON","3168","-37.92736800","145.11900800","Metro East","Not allowed"
"Unspecified","PARKVILLE","3052","-37.79242381","144.96319191","Metro North","Not allowed"
"Between 100 and 199","FRANKSTON","3199","-38.14516239","145.13942957","Metro South","Not allowed"
"Between 200 and 499","FRANKSTON","3199","-38.14113800","145.12464800","Metro South","Not allowed"
"Between 5 and 19","CLAYTON","3168","-37.91931360","145.13618273","Metro East","Not allowed"
"Between 50 and 99","CLAYTON","3168","-37.91389600","145.13263600","Metro East","Not allowed"
"Between 50 and 99","BERWICK","3806","-38.03154219","145.34575863","Metro South","Not allowed"
"Between 50 and 99","PARKVILLE","3052","-37.78290465","144.95915590","Metro North","Not allowed"
"Between 200 and 499","FRANKSTON","3199","-38.13798600","145.12386800","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92575415","145.13873620","Metro East","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14699600","145.13167100","Metro South","Not allowed"
"Unspecified","CAULFIELD","3162","-37.90167200","145.03067900","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92266400","145.14227900","Metro East","Not allowed"
"Between 50 and 99","FRANKSTON","3199","-38.14073800","145.12369100","Metro South","Not allowed"
"Between 50 and 99","CLAYTON","3168","-37.92734900","145.11952000","Metro East","Not allowed"
"Between 20 and 49","FRANKSTON","3199","-38.14404700","145.12191000","Metro South","Not allowed"
"Between 50 and 99","BERWICK","3806","-38.01491622","145.32340363","Metro South","Not allowed"
"More than 499","FRANKSTON","3199","-38.14383285","145.12324313","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.13243500","145.12818700","Metro South","Not allowed"
"Unspecified","CAULFIELD","3162","-37.87752500","145.03948100","Metro South","Not allowed"
"Unspecified","PARKVILLE","3052","-37.78535728","144.95715810","Metro North","Not allowed"
"Unspecified","CLAYTON","3168","-37.91623900","145.13242100","Metro East","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15160300","145.15227800","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.02735600","145.35615800","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.16511700","145.10357800","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14241400","145.11858400","Metro South","Not allowed"
"Unspecified","PARKVILLE","3052","-37.77811400","144.94799900","Metro North","Not allowed"
"Unspecified","BERWICK","3806","-38.03320200","145.34678700","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92243339","145.11687660","Metro East","Not allowed"
"Unspecified","BERWICK","3806","-38.02771400","145.36252100","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.90526859","145.12591190","Metro East","Not allowed"
"Unspecified","CAULFIELD","3162","-37.88763300","145.02163800","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92496122","145.12173420","Metro East","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15893150","145.12338720","Metro South","Not allowed"
"Unspecified","PARKVILLE","3052","-37.78487415","144.95892010","Metro North","Not allowed"
"Unspecified","CLAYTON","3168","-37.92762900","145.11896700","Metro East","Not allowed"
"Unspecified","CLAYTON","3168","-37.92347400","145.11968500","Metro East","Not allowed"
"Unspecified","CAULFIELD","3162","-37.87920800","145.02326200","Metro South","Not allowed"
"Unspecified","PARKVILLE","3052","-37.77940595","144.95554630","Metro North","Not allowed"
"Unspecified","PARKVILLE","3052","-37.78799890","144.95369360","Metro North","Not allowed"
"Unspecified","BERWICK","3806","-38.03960665","145.32916370","Metro South","Not allowed"
"Unspecified","PARKVILLE","3052","-37.78495240","144.94466680","Metro North","Not allowed"
"Unspecified","CLAYTON","3168","-37.92180571","145.12402750","Metro East","Not allowed"
"Unspecified","CLAYTON","3168","-37.91400060","145.13486690","Metro East","Not allowed"
"Unspecified","PARKVILLE","3052","-37.78650900","144.95509000","Metro North","Not allowed"
"Unspecified","PARKVILLE","3052","-37.78650900","144.95509000","Metro North","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15105800","145.16281100","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.03049800","145.36275700","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.05588700","145.34710000","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15116700","145.12457300","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.91832063","145.12410220","Metro East","Not allowed"
"Unspecified","CAULFIELD","3161","-37.87238610","145.02474370","Metro South","Not allowed"
"Unspecified","PARKVILLE","3052","-37.77877110","144.95693920","Metro North","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14721740","145.11666570","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.13736800","145.12083000","Metro South","Not allowed"
"Unspecified","CLAYTON","3800","-37.91186700","145.13640300","Metro East","Not allowed"
"Unspecified","CLAYTON","3168","-37.90239800","145.12420400","Metro East","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15186200","145.14648300","Metro South","Not allowed"
"Unspecified","CAULFIELD","3162","-37.88694100","145.02335100","Metro South","Not allowed"
"Unspecified","PARKVILLE","3052","-37.78190700","144.95631600","Metro North","Not allowed"
"Unspecified","CAULFIELD","3161","-37.86948500","145.01796300","Metro South","Not allowed"
"Unspecified","PARKVILLE","3010","-37.79412700","144.95994900","Metro North","Not allowed"
"Unspecified","CLAYTON","3168","-37.93128539","145.10936404","Metro South","Not allowed"
"Unspecified","PARKVILLE","3052","-37.78190700","144.95631600","Metro North","Not allowed"
"Unspecified","CLAYTON","3168","-37.92773700","145.11894100","Metro East","Not allowed"
"Unspecified","PARKVILLE","3052","-37.78368853","144.95763170","Metro North","Not allowed"
"Unspecified","PARKVILLE","3052","-37.79592182","144.95113000","Metro North","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14026625","145.14440700","Metro South","Not allowed"
"Unspecified","PARKVILLE","3052","-37.79924808","144.95503400","Metro North","Not allowed"
"Unspecified","FRANKSTON","3199","-38.17571438","145.15926500","Metro South","Not allowed"
"Unspecified","PARKVILLE","3052","-37.77765059","144.95454740","Metro North","Not allowed"
"Unspecified","CAULFIELD","3161","-37.87721904","145.01162820","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.01976524","145.32366750","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92876471","145.13613243","Metro East","Not allowed"
"Unspecified","FRANKSTON","3199","-38.17101220","145.15748180","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92799490","145.11941728","Metro East","Not allowed"
"Unspecified","BERWICK","3806","-38.06041891","145.33946118","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.05692600","145.36339000","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.13425900","145.12467100","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14038301","145.12195908","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14460421","145.12010486","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.02735600","145.35615800","Metro South","Not allowed"
"Unspecified","CLAYTON","3800","-37.91515521","145.13390076","Metro East","Not allowed"
"Unspecified","BERWICK","3806","-38.03099500","145.34681400","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.00635600","145.32388000","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15133140","145.16532927","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14553180","145.11739289","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14496300","145.12059700","Metro South","Not allowed"
"Unspecified","PARKVILLE","3052","-37.78487415","144.95892007","Metro North","Not allowed"
"Unspecified","BERWICK","3806","-38.03150498","145.34526451","Metro South","Not allowed"
"Unspecified","PARKVILLE","3052","-37.78414369","144.95893923","Metro North","Not allowed"
"Unspecified","CAULFIELD","3162","-37.88660406","145.02087773","Metro South","Not allowed"
"Unspecified","CAULFIELD","3162","-37.88497346","145.02405885","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14317671","145.13329056","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15284059","145.15844505","Metro South","Not allowed"
